시도,지점명,위도,경도,발생건수,사상자수,사망자수,중상자수,경상자수
서울특별시,서울특별시 영등포구 양평동(경인고속입구교차로 인근),37.529796382949,126.892949755026,40,63,0,8,51
서울특별시,서울특별시 동작구 동작동(국립현충원 인근),37.504309217549,126.976410402217,40,71,1,9,57
서울특별시,서울특별시 동작구 본동(한강대교남단교차로 인근),37.513621053422,126.956098060876,35,46,0,8,36
서울특별시,서울특별시 동작구 사당동(상도역앞교차로 인근),37.503189790929,126.947676367669,35,42,0,6,31
서울특별시,서울특별시 관악구 신림동(SK허브그린 인근),37.484926410079,126.929615421513,57,74,0,10,59
서울특별시,서울특별시 관악구 봉천동(서울대입구역앞교차로 인근),37.481266308746,126.952735419303,44,62,0,9,53
서울특별시,서울특별시 관악구 신림동(신림교 인근),37.481927146774,126.929043225163,28,32,0,9,18
서울특별시,서울특별시 서초구 반포동(서울성모병원앞교차로 인근),37.502143861403,127.003444992392,43,56,0,6,48
서울특별시,서울특별시 서초구 반포동(고속터미널사거리 인근),37.505005400731,127.001086385427,39,57,0,11,43
서울특별시,서울특별시 서초구 양재동(트럭터미널앞교차로 인근),37.461626314956,127.037257531809,35,62,0,2,54
서울특별시,서울특별시 강남구 도곡동(르네상스호텔교차로 인근),37.502873387849,127.043646462214,51,66,0,11,52
서울특별시,서울특별시 강남구 논현동(신논현역 인근),37.504760190683,127.025289258691,48,62,1,2,57
서울특별시,서울특별시 강남구 논현동(차병원사거리 인근),37.507329308254,127.033889484411,44,64,0,8,56
서울특별시,서울특별시 송파구 신천동(잠실역사거리 인근),37.513283058519,127.100189194575,50,97,0,13,78
서울특별시,서울특별시 송파구 방이동(KT앞삼거리 인근),37.514139659171,127.107245779868,36,44,0,6,34
서울특별시,서울특별시 송파구 장지동(복정역앞교차로 인근),37.470868879649,127.126723456821,34,45,0,3,39
서울특별시,서울특별시 강동구 천호동(천호사거리 인근),37.539069774602,127.123624272541,33,50,1,5,42
서울특별시,서울특별시 강동구 성내동(길동사거리 인근),37.533955263577,127.138574979951,30,40,0,9,30
서울특별시,서울특별시 강동구 성내동(둔촌사거리 인근),37.522113538561,127.134111217458,19,31,0,8,23
부산광역시,부산광역시 중구 남포동6가(남포사거리 인근),35.097747087064,129.028214607248,31,36,0,15,19
부산광역시,부산광역시 중구 남포동1가(옛시청교차로 인근),35.098600555377,129.035797232987,31,46,0,5,38
부산광역시,부산광역시 중구 중앙동5가(부산우체국앞교차로 인근),35.102940399385,129.036402263585,23,31,0,8,22
부산광역시,부산광역시 서구 충무동1가(충무교차로 인근),35.096453774727,129.024428607124,24,26,0,8,17
부산광역시,부산광역시 서구 서대신동2가(한국외식업중앙회부산 인근),35.109551805876,129.016448451363,23,28,0,4,23
부산광역시,부산광역시 서구 서대신동3가(구덕사거리 인근),35.115870242023,129.017464857046,23,37,0,6,28
부산광역시,부산광역시 동구 초량동(초량교차로 인근),35.119287462551,129.041959513552,29,40,1,7,32
부산광역시,부산광역시 동구 초량동(부산역부산1호선 인근),35.114723096499,129.039391251237,27,31,1,8,19
부산광역시,부산광역시 동구 범일동(범일교차로 인근),35.137103681594,129.063532700808,22,33,0,6,27
부산광역시,부산광역시 영도구 봉래동1가(대교동교차로 인근),35.092647087498,129.038332451513,21,29,0,5,23
부산광역시,부산광역시 영도구 봉래동4가(봉래교차로 인근),35.092996336517,129.044832481466,18,20,0,4,16
부산광역시,부산광역시 영도구 봉래동3가(소방서앞사거리 인근),35.090759868279,129.043576013454,12,18,0,2,16
부산광역시,부산광역시 부산진구 부전동(서면역9번출구 인근),35.157738117824,129.057775170921,51,68,0,12,51
부산광역시,부산광역시 부산진구 부전동(서면특화거리 인근),35.154480719414,129.059879652858,46,52,0,5,44
부산광역시,부산광역시 부산진구 범천동(범내골교차로 인근),35.147307680909,129.059221169256,36,60,0,5,51
부산광역시,부산광역시 동래구 온천동(동래역부산1호선 인근),35.205328480528,129.07879898842,30,37,0,4,31
부산광역시,부산광역시 동래구 온천동(미남교차로 인근),35.20791108703,129.069730920082,27,37,0,9,27
부산광역시,부산광역시 동래구 낙민동(하울목교회 인근),35.19556430635,129.108313669582,26,35,0,4,26
부산광역시,부산광역시 남구 대연동(대연사거리 인근),35.135124493205,129.091888513783,31,40,0,10,30
부산광역시,부산광역시 남구 대연동(용소삼거리 인근),35.137340429921,129.099901263672,28,39,0,10,25
부산광역시,부산광역시 남구 문현동(문현교차로 인근),35.136893024398,129.068041200976,25,29,0,6,22
부산광역시,부산광역시 북구 덕천동(만덕역2번출구 인근),35.21287261798,129.037662607674,24,37,0,9,26
부산광역시,부산광역시 북구 덕천동(숙등교차로 인근),35.211406993741,129.01068860842,22,24,0,6,18
부산광역시,부산광역시 북구 화명동(와석교차로 인근),35.234652475734,129.013787773815,18,25,0,4,21
부산광역시,부산광역시 해운대구 우동(우동항삼거리 인근),35.162751649372,129.134519075841,19,27,0,3,19
부산광역시,부산광역시 해운대구 우동(센텀시티교차로 인근),35.167227743369,129.129090888479,18,27,0,4,21
부산광역시,부산광역시 해운대구 우동(올림픽교차로 인근),35.168930930721,129.138928670369,17,28,0,7,15
부산광역시,부산광역시 사하구 하단동(하단교차로 인근),35.106146274736,128.968428076018,42,56,0,10,43
부산광역시,부산광역시 사하구 구평동(구평고개사거리 인근),35.084953399086,128.982185669957,21,24,0,2,22
부산광역시,부산광역시 사하구 괴정동(괴정사거리 인근),35.10013552544,128.993199170631,19,29,0,6,19
부산광역시,부산광역시 금정구 부곡동(스타벅스금정구청DT점 인근),35.239389713067,129.092556326053,25,48,0,6,42
부산광역시,부산광역시 금정구 서동(넘버25호텔서동점 인근),35.21504405624,129.107146639147,25,30,0,10,17
부산광역시,부산광역시 금정구 장전동(부산대학교앞교차로 인근),35.231187837551,129.086524858174,22,25,0,3,21
부산광역시,부산광역시 강서구 명지동(명지주거단지입구교차 인근),35.089050086198,128.90358857527,19,26,2,9,14
부산광역시,부산광역시 강서구 신호동(신호동269 인근),35.088581798417,128.882467630094,12,16,0,8,8
