연도,시도,시군구,사고건수,사망자수,부상자수,치사율,차대사람,차대차,차량단독,철길건널목,과속,중앙선 침범,신호위반,안전거리 미확보,안전운전 의무 불이행,보행자 보호의무 위반,교차로 통행방법 위반,기타
2020,전라북도,전라북도 장수군,73,4,96,5.48,12,38,23,0,1,3,4,2,45,11,1,6
2020,전라북도,전라북도 전주시,2082,40,3116,1.92,441,1609,32,0,16,100,411,153,985,85,108,224
2020,전라북도,전라북도 정읍시,491,18,767,3.67,79,380,32,0,5,29,80,23,230,12,24,88
2020,전라북도,전라북도 진안군,52,8,64,15.38,10,30,12,0,0,1,3,1,34,4,1,8
2020,제주도,제주도 서귀포시,1151,24,1868,2.09,171,840,140,0,19,65,72,100,555,50,46,244
2020,제주도,제주도 제주시,2879,44,4263,1.53,540,2178,161,0,19,111,261,372,1381,225,135,375
2020,충청남도,충청남도 계룡시,54,2,87,3.7,12,35,7,0,1,4,7,2,27,2,4,7
2020,충청남도,충청남도 공주시,514,26,796,5.06,71,377,66,0,6,34,42,15,342,22,13,40
2020,충청남도,충청남도 금산군,121,7,198,5.79,27,81,13,0,1,15,6,0,73,12,6,8
2020,충청남도,충청남도 논산시,375,21,594,5.6,73,276,26,0,6,34,32,9,200,32,10,52
2020,충청남도,충청남도 당진시,751,29,1188,3.86,104,617,30,0,4,54,79,75,351,101,21,66
2020,충청남도,충청남도 보령시,468,12,682,2.56,107,332,29,0,8,31,52,12,301,6,20,38
2020,충청남도,충청남도 부여군,201,6,285,2.99,32,154,15,0,4,18,17,5,112,24,2,19
2020,충청남도,충청남도 서산시,737,24,1067,3.26,127,578,32,0,8,36,101,59,354,52,39,88
2020,충청남도,충청남도 서천군,289,14,416,4.84,48,205,36,0,3,20,32,5,169,6,10,44
2020,충청남도,충청남도 아산시,1190,19,1698,1.6,198,964,28,0,9,75,165,23,769,37,39,73
2020,충청남도,충청남도 예산군,375,13,555,3.47,55,288,32,0,3,20,45,25,177,11,10,84
2020,충청남도,충청남도 천안시,3086,51,4595,1.65,444,2563,79,0,24,148,362,290,1761,212,75,214
2020,충청남도,충청남도 청양군,170,9,254,5.29,23,107,40,0,4,15,6,5,100,5,2,33
2020,충청남도,충청남도 태안군,299,16,523,5.35,48,220,31,0,9,34,16,13,149,34,9,35
2020,충청남도,충청남도 홍성군,322,12,443,3.73,45,262,15,0,1,20,43,7,214,18,6,13
2020,충청북도,충청북도 괴산군,193,10,340,5.18,27,149,17,0,3,16,10,6,127,2,2,27
2020,충청북도,충청북도 단양군,145,5,233,3.45,18,101,26,0,1,9,9,4,109,1,2,10
2020,충청북도,충청북도 보은군,132,9,210,6.82,25,88,19,0,1,12,10,5,76,21,3,4
2020,충청북도,충청북도 영동군,158,10,217,6.33,30,111,17,0,4,16,4,3,97,4,9,21
2020,충청북도,충청북도 옥천군,160,5,223,3.13,18,127,15,0,2,11,6,16,71,22,5,27
2020,충청북도,충청북도 음성군,606,20,952,3.3,61,486,59,0,15,39,42,37,311,100,1,61
2020,충청북도,충청북도 제천시,801,16,1304,2.0,88,668,45,0,4,57,91,123,360,33,17,116
2020,충청북도,충청북도 증평군,167,2,242,1.2,25,136,6,0,1,11,25,6,89,8,8,19
2020,충청북도,충청북도 진천군,481,12,800,2.49,50,399,32,0,2,34,36,47,272,32,10,48
2020,충청북도,충청북도 청주시,4456,61,6887,1.37,598,3712,146,0,27,169,587,352,2398,474,106,343
2020,충청북도,충청북도 충주시,1099,21,1830,1.91,119,937,43,0,8,48,163,114,583,28,20,135
2021,강원도,강원도 강릉시,653,17,965,2.6,122,520,11,0,0,51,102,5,442,2,26,25
2021,강원도,강원도 고성군,119,5,199,4.2,15,99,5,0,0,15,14,7,73,7,0,3
2021,강원도,강원도 동해시,362,2,579,0.55,63,289,10,0,0,16,34,27,181,55,15,34
2021,강원도,강원도 삼척시,257,6,384,2.33,48,188,21,0,0,20,14,31,145,7,11,29
2021,강원도,강원도 속초시,384,2,584,0.52,78,300,6,0,0,17,49,17,205,39,14,43
2021,강원도,강원도 양구군,81,6,122,7.41,16,55,10,0,0,10,4,1,48,3,1,14
2021,강원도,강원도 양양군,153,3,247,1.96,20,121,12,0,0,14,12,11,86,10,3,17
2021,강원도,강원도 영월군,136,2,227,1.47,20,102,14,0,0,19,3,5,71,21,7,10
2021,강원도,강원도 원주시,1718,20,2620,1.16,268,1422,28,0,0,94,228,196,798,111,68,223
2021,강원도,강원도 인제군,88,7,154,7.95,7,73,8,0,0,22,1,3,59,0,0,3
2021,강원도,강원도 정선군,167,6,244,3.59,22,126,19,0,0,21,11,3,114,1,1,16
2021,강원도,강원도 철원군,125,6,207,4.8,9,104,12,0,0,12,15,7,65,4,0,22
2021,강원도,강원도 춘천시,1361,23,1988,1.69,221,1104,36,0,0,69,167,210,554,111,64,186
2021,강원도,강원도 태백시,190,7,268,3.68,37,142,11,0,0,16,14,7,93,44,10,6
2021,강원도,강원도 평창군,178,4,396,2.25,13,151,14,0,0,23,16,27,57,16,3,36
2021,강원도,강원도 홍천군,329,18,564,5.47,52,248,29,0,0,27,10,47,139,26,16,64
2021,강원도,강원도 화천군,96,2,169,2.08,11,73,12,0,0,25,2,9,42,15,0,3
2021,강원도,강원도 횡성군,208,9,304,4.33,26,167,15,0,0,23,7,8,107,29,3,31
2021,경기도,경기도 가평군,367,10,651,2.72,49,298,20,0,0,34,32,59,163,13,8,58
